spanID,startTime,durationNanos,2xx_rate,istio.namespace,http.method,istio.cluster_id,user_agent,response_size,http.status_code,istio.canonical_revision,istio.canonical_service,component,http.url,node_id,net.host.ip,guid:x-request-id,response_flags,zone,downstream_cluster,request_size,upstream_cluster.name,upstream_cluster,peer.address,istio.mesh_id,http.protocol
LoetFsm+9n0=,1723410096346865000,1922000,1,sock-shop,POST,Kubernetes,Java/1.8.0_111-internal,73,200,v1,payment,proxy,http://payment/paymentAuth,sidecar~172.20.98.219~payment-d5fdf579-qnx2g.sock-shop~sock-shop.svc.cluster.local,172.20.98.219,23a0571c-ce84-444a-b9f9-2912a192cd25,-,us-east-1c,-,354,inbound|80||,inbound|80||,172.20.106.211,cluster.local,HTTP/1.1
1zuB14viHZM=,1723409877582492000,1951000,1,sock-shop,GET,Kubernetes,Prometheus/2.48.0,1578,200,v1,payment,proxy,http://172.20.98.219:80/metrics,sidecar~172.20.98.219~payment-d5fdf579-qnx2g.sock-shop~sock-shop.svc.cluster.local,172.20.98.219,2dc2536c-f623-94fb-9a85-7bee8a280d55,-,us-east-1c,-,0,inbound|80||,inbound|80||,172.20.90.135,cluster.local,HTTP/1.1
gtqHaMLt3xc=,1723409763272804000,63703000,1,sock-shop,POST,Kubernetes,-,227,406,v1,orders,proxy,http://orders/orders,sidecar~172.20.106.211~orders-56b58b9cb9-7r4wr.sock-shop~sock-shop.svc.cluster.local,172.20.106.211,764121e5-7ce6-95c6-835f-1d18202ead09,-,us-east-1c,-,232,inbound|80||,inbound|80||,172.20.85.44,cluster.local,HTTP/1.1
KAl6dYTN8kc=,1723409763274338000,5932000,1,sock-shop,GET,Kubernetes,Java/1.8.0_111-internal,225,200,v1,orders,proxy,http://user/cards/66b92065dade2b00013f82c9,sidecar~172.20.106.211~orders-56b58b9cb9-7r4wr.sock-shop~sock-shop.svc.cluster.local,172.20.106.211,f591f864-5fa3-450b-923c-c7496537b82c,-,us-east-1c,-,0,outbound|80|v1|user.sock-shop.svc.cluster.local,outbound|80|v1|user.sock-shop.svc.cluster.local,172.20.106.211,cluster.local,HTTP/1.1
gHOE1NWcZ8A=,1723409763275052000,47888000,1,sock-shop,GET,Kubernetes,Java/1.8.0_111-internal,1021,200,v1,orders,proxy,http://carts/carts/66b92065dade2b00013f82c8/items,sidecar~172.20.106.211~orders-56b58b9cb9-7r4wr.sock-shop~sock-shop.svc.cluster.local,172.20.106.211,78891aa1-7ffa-445c-9e28-612d1b2701cc,-,us-east-1c,-,0,outbound|80||carts.sock-shop.svc.cluster.local,outbound|80||carts.sock-shop.svc.cluster.local,172.20.106.211,cluster.local,HTTP/1.1
N57fX2D6qsQ=,1723409763274071000,6454000,1,sock-shop,GET,Kubernetes,Java/1.8.0_111-internal,301,200,v1,orders,proxy,http://user/addresses/66b92065dade2b00013f82cb,sidecar~172.20.106.211~orders-56b58b9cb9-7r4wr.sock-shop~sock-shop.svc.cluster.local,172.20.106.211,5964ee15-d96d-4295-8f3d-ed3b21281bc2,-,us-east-1c,-,0,outbound|80|v1|user.sock-shop.svc.cluster.local,outbound|80|v1|user.sock-shop.svc.cluster.local,172.20.106.211,cluster.local,HTTP/1.1
3XVJYc4OZhs=,1723409763274306000,35947000,1,sock-shop,GET,Kubernetes,Java/1.8.0_111-internal,394,200,v1,orders,proxy,http://user/customers/66b92065dade2b00013f82c8,sidecar~172.20.106.211~orders-56b58b9cb9-7r4wr.sock-shop~sock-shop.svc.cluster.local,172.20.106.211,84b49f08-9b43-487b-9d12-f9ce5df85bd4,-,us-east-1c,-,0,outbound|80|v1|user.sock-shop.svc.cluster.local,outbound|80|v1|user.sock-shop.svc.cluster.local,172.20.106.211,cluster.local,HTTP/1.1
EiqXRbdMXpU=,1723409763328646000,4003000,1,sock-shop,POST,Kubernetes,Java/1.8.0_111-internal,73,200,v1,orders,proxy,http://payment/paymentAuth,sidecar~172.20.106.211~orders-56b58b9cb9-7r4wr.sock-shop~sock-shop.svc.cluster.local,172.20.106.211,c6b46789-0ad2-4a6a-a332-cc8e0728fb6f,-,us-east-1c,-,352,outbound|80|v1|payment.sock-shop.svc.cluster.local,outbound|80|v1|payment.sock-shop.svc.cluster.local,172.20.106.211,cluster.local,HTTP/1.1
FNL7bWwB9qE=,1723409763274568000,5327000,1,sock-shop,GET,Kubernetes,Java/1.8.0_111-internal,301,200,v1,user,proxy,http://user/addresses/66b92065dade2b00013f82cb,sidecar~172.20.102.83~user-6c87c59f45-gzlb9.sock-shop~sock-shop.svc.cluster.local,172.20.102.83,5964ee15-d96d-4295-8f3d-ed3b21281bc2,-,us-east-1c,-,0,inbound|80||,inbound|80||,172.20.106.211,cluster.local,HTTP/1.1
v3XqOjV/e+c=,1723409763274568000,5089000,1,sock-shop,GET,Kubernetes,Java/1.8.0_111-internal,225,200,v1,user,proxy,http://user/cards/66b92065dade2b00013f82c9,sidecar~172.20.102.83~user-6c87c59f45-gzlb9.sock-shop~sock-shop.svc.cluster.local,172.20.102.83,f591f864-5fa3-450b-923c-c7496537b82c,-,us-east-1c,-,0,inbound|80||,inbound|80||,172.20.106.211,cluster.local,HTTP/1.1
