sequence,label
"['1726408799623789226', '1726408799609633261', '1726408799607946374', '1726408799601822235', '1726408799601683965', '1726408799601016201', '1726408799597217425', '1726408799593654506', '1726408799591850800', '1726408799591801912']",normal
"['1726408799609633261', '1726408799607946374', '1726408799601822235', '1726408799601683965', '1726408799601016201', '1726408799597217425', '1726408799593654506', '1726408799591850800', '1726408799591801912', '1726408799591670444']",normal
"['1726408799607946374', '1726408799601822235', '1726408799601683965', '1726408799601016201', '1726408799597217425', '1726408799593654506', '1726408799591850800', '1726408799591801912', '1726408799591670444', '1726408799591358088']",normal
"['1726408799601822235', '1726408799601683965', '1726408799601016201', '1726408799597217425', '1726408799593654506', '1726408799591850800', '1726408799591801912', '1726408799591670444', '1726408799591358088', '1726408799591127578']",normal
"['1726408799601683965', '1726408799601016201', '1726408799597217425', '1726408799593654506', '1726408799591850800', '1726408799591801912', '1726408799591670444', '1726408799591358088', '1726408799591127578', '1726408799591029682']",normal
"['1726408799601016201', '1726408799597217425', '1726408799593654506', '1726408799591850800', '1726408799591801912', '1726408799591670444', '1726408799591358088', '1726408799591127578', '1726408799591029682', '1726408799590751232']",normal
"['1726408799597217425', '1726408799593654506', '1726408799591850800', '1726408799591801912', '1726408799591670444', '1726408799591358088', '1726408799591127578', '1726408799591029682', '1726408799590751232', '1726408799555650108']",normal
"['1726408799593654506', '1726408799591850800', '1726408799591801912', '1726408799591670444', '1726408799591358088', '1726408799591127578', '1726408799591029682', '1726408799590751232', '1726408799555650108', '1726408799550772807']",normal
"['1726408799591850800', '1726408799591801912', '1726408799591670444', '1726408799591358088', '1726408799591127578', '1726408799591029682', '1726408799590751232', '1726408799555650108', '1726408799550772807', '1726408799546777031']",normal
"['1726408799591801912', '1726408799591670444', '1726408799591358088', '1726408799591127578', '1726408799591029682', '1726408799590751232', '1726408799555650108', '1726408799550772807', '1726408799546777031', '1726408799546717151']",normal
"['1726408799591670444', '1726408799591358088', '1726408799591127578', '1726408799591029682', '1726408799590751232', '1726408799555650108', '1726408799550772807', '1726408799546777031', '1726408799546717151', '1726408799529419628']",normal
"['1726408799591358088', '1726408799591127578', '1726408799591029682', '1726408799590751232', '1726408799555650108', '1726408799550772807', '1726408799546777031', '1726408799546717151', '1726408799529419628', '1726408799525230670']",normal
